province,rptn,rptm,corpId,corpName,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C9_avg,C10_avg,C11_avg
北京市,2015,12,33685,北京中金投典当行有限公司, 0.02454185, 0.135020071, 0.158218126, 0.401096584, 2.040533333, 0.121658244, 0.0, 0.0, 0.0, 0.546589127, 0.647261299, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,50815,北京天循典当有限责任公司, 0.023360102, 0.023503916, 0.116120536, 0.074062096, 0.96, 0.087804491, 0.4375, 0.0, 0.0, 1.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,82268,北京德信通典当有限责任公司, 0.003940168, 0.012384154, 0.011619354,-15.028571429, 0.887656, 0.008714515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,3361,北京金正源通典当有限责任公司, 0.001886792,-0.006870706, 0.013207547,-0.37254902, 1.864, 0.010085093, 0.0, 0.0, 0.0, 0.81223176, 1.174663073, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,73159,北京东方艺宝典当有限公司, 0.017087941,-0.088622904,-0.05121643,-2.945978391, 0.6,-0.052106828, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,82201,北京信达典当有限公司, 0.000612975, 0.0, 0.006944389, 0.0, 0.9498, 0.006902697, 0.0, 0.0, 0.264465188, 0.667508949, 0.872356759, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,7075,北京市金禧典当有限责任公司, 0.023344649, 0.140735135, 0.156499412, 0.922489809, 3.544666667, 0.119817876, 0.221857025, 0.0, 0.0, 0.541282678, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,74329,北京华远典当有限公司, 0.120197673, 0.057128413, 0.064881237, 0.402777778, 2.92, 0.05490125, 0.0, 0.0, 0.0, 1.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,66433,北京市融兴典当行有限责任公司, 0.000932605, 0.006031479, 0.007708266,-0.109970674, 0.37, 0.005781888, 0.0, 0.0, 0.0, 1.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,61755,北京金洲典当有限公司, 0.00078633, 0.00009362, 0.00052422,-0.783783784, 10.375, 0.00019986, 0.0, 0.0, 0.0, 0.837349398, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,7025,北京金马典当有限责任公司, 0.003374778, 0.008599068, 0.015452931,-0.434782609, 6.480792079, 0.011586453, 0.0, 0.0, 0.0, 0.718375703, 0.303380526, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,3365,北京市金福典当有限责任公司, 0.015401502, 0.105187778, 0.124310516, 0.105344837, 5.894455, 0.095673717, 0.127848868, 0.000127238, 0.0, 0.310970225, 0.366126328, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,73318,北京裕济达典当有限公司, 0.000882214, 0.025568688, 0.008683209,-5.08496732, 6.093333333, 0.008690876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,33767,北京亨融典当有限公司, 0.001193404,-0.000052744, 0.000112088, 0.181818182, 0.988, 0.000085817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,50221,北京硕祥通典当行有限责任公司, 0.00037718,-0.000236481, 0.004519767,-11.846153846, 1.982888889, 0.004508682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,6750,北京嘉德典当有限公司, 0.005577651,-0.001457761, 0.001285285,-0.061320755, 0.61263, 0.00097059, 0.0, 0.0, 0.0, 0.856340695, 0.381228318, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,82269,北京润东典当有限公司, 0.001019614, 0.006083193, 0.015745615,-3.655647383, 1.667598, 0.013373552, 0.0, 0.0, 0.0, 0.961502712, 0.832434764, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,59184,北京顺德发典当有限责任公司, 0.010147547, 0.016937307, 0.019438152,-0.091874668, 0.972727273, 0.014657352, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,59321,北京乾源典当有限公司, 0.003794459, 0.023440196,-0.021908839,-40.937062937, 0.985,-0.024468723, 0.0, 0.0, 0.0, 0.847715736, 0.239520958, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,63412,北京中强典当行有限公司, 0.010301524, 0.0,-0.102743014, 0.0, 0.00214,-0.10398616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,82916,北京长江典当有限责任公司, 0.00534327, 0.0, 0.039755163, 0.0, 0.9278, 0.029977515, 0.0, 0.0, 0.0, 0.383703384, 0.988764045, 0.221475809, 0.639905674, 0.624551407
